player_id,player_name,season,date,gameType,isHome,isWin,stat.summary,stat.gamesPlayed,stat.gamesStarted,stat.flyOuts,stat.groundOuts,stat.airOuts,stat.runs,stat.doubles,stat.triples,stat.homeRuns,stat.strikeOuts,stat.baseOnBalls,stat.intentionalWalks,stat.hits,stat.hitByPitch,stat.avg,stat.atBats,stat.obp,stat.slg,stat.ops,stat.caughtStealing,stat.stolenBases,stat.stolenBasePercentage,stat.groundIntoDoublePlay,stat.numberOfPitches,stat.era,stat.inningsPitched,stat.wins,stat.losses,stat.saves,stat.saveOpportunities,stat.holds,stat.blownSaves,stat.earnedRuns,stat.whip,stat.battersFaced,stat.outs,stat.gamesPitched,stat.completeGames,stat.shutouts,stat.strikes,stat.strikePercentage,stat.hitBatsmen,stat.balks,stat.wildPitches,stat.pickoffs,stat.totalBases,stat.groundOutsToAirouts,stat.winPercentage,stat.pitchesPerInning,stat.gamesFinished,stat.strikeoutWalkRatio,stat.strikeoutsPer9Inn,stat.walksPer9Inn,stat.hitsPer9Inn,stat.runsScoredPer9,stat.homeRunsPer9,stat.inheritedRunners,stat.inheritedRunnersScored,stat.catchersInterference,stat.sacBunts,stat.sacFlies,team.id,team.name,team.link,player.id,player.fullName,player.link,league.id,league.name,league.link,sport.id,sport.link,sport.abbreviation,opponent.id,opponent.name,opponent.link,game.gamePk,game.link,game.content.link,game.gameNumber,game.dayNight
471911,Carlos Carrasco,2023,2023-04-03,R,False,False,"4.0 IP, 5 ER, 4 K, 4 BB",1,1,1,6,2,5,0,0,1,4,4,0,4,0,.250,16,.400,.438,.838,0,2,1.000,0,96,11.25,4.0,0,1,0,0,0,0,5,2.00,20,12,1,0,0,53,.550,0,0,0,0,7,3.00,.000,24.00,0,1.00,9.00,9.00,9.00,11.25,2.25,0,0,0,0,0,121,New York Mets,/api/v1/teams/121,471911,Carlos Carrasco,/api/v1/people/471911,104,National League,/api/v1/league/104,1,/api/v1/sports/1,MLB,158,Milwaukee Brewers,/api/v1/teams/158,718731,/api/v1.1/game/718731/feed/live,/api/v1/game/718731/content,1,day
471911,Carlos Carrasco,2023,2023-04-09,R,True,False,"4.2 IP, 6 ER, K, 3 BB",1,1,1,8,4,6,0,0,2,1,3,0,6,0,.286,19,.409,.632,1.041,0,3,1.000,1,83,11.42,4.2,0,1,0,0,0,0,6,1.96,22,14,1,0,0,45,.540,0,0,0,0,12,2.33,.000,17.79,0,0.33,1.93,5.79,11.57,11.57,3.86,0,0,0,0,0,121,New York Mets,/api/v1/teams/121,471911,Carlos Carrasco,/api/v1/people/471911,104,National League,/api/v1/league/104,1,/api/v1/sports/1,MLB,146,Miami Marlins,/api/v1/teams/146,718647,/api/v1.1/game/718647/feed/live,/api/v1/game/718647/content,1,day
471911,Carlos Carrasco,2023,2023-04-15,R,False,True,"5.0 IP, 2 ER, 3 K, BB",1,1,6,5,7,2,2,0,0,3,1,0,4,3,.259,19,.348,.316,.664,0,0,.---,0,88,8.56,5.0,0,0,0,0,0,0,2,1.61,23,15,1,0,0,51,.580,3,0,0,0,6,1.46,.---,17.60,0,3.00,5.40,1.80,7.20,3.60,0.00,0,0,0,0,0,121,New York Mets,/api/v1/teams/121,471911,Carlos Carrasco,/api/v1/people/471911,104,National League,/api/v1/league/104,1,/api/v1/sports/1,MLB,133,Oakland Athletics,/api/v1/teams/133,718565,/api/v1.1/game/718565/feed/live,/api/v1/game/718565/content,1,day
471911,Carlos Carrasco,2023,2023-05-19,R,True,True,"5.0 IP, 5 ER, 3 K, 2 BB",1,1,1,8,3,5,1,0,1,3,2,0,5,0,.260,19,.333,.474,.807,0,1,1.000,1,80,8.68,5.0,0,0,0,0,0,0,5,1.55,21,15,1,0,0,49,.610,0,0,0,0,9,1.69,.---,16.00,0,1.50,5.40,3.60,9.00,9.00,1.80,0,0,0,0,0,121,New York Mets,/api/v1/teams/121,471911,Carlos Carrasco,/api/v1/people/471911,104,National League,/api/v1/league/104,1,/api/v1/sports/1,MLB,114,Cleveland Guardians,/api/v1/teams/114,718119,/api/v1.1/game/718119/feed/live,/api/v1/game/718119/content,1,day
471911,Carlos Carrasco,2023,2023-05-25,R,False,True,"6.2 IP, ER, 4 K, 2 BB",1,1,3,9,7,1,0,0,1,4,2,0,5,0,.245,25,.259,.320,.579,0,0,.---,0,100,6.75,6.2,1,0,0,0,0,0,1,1.42,27,20,1,0,0,66,.660,0,0,0,0,8,1.57,1.000,15.00,0,2.00,5.40,2.70,6.75,1.35,1.35,0,0,0,0,0,121,New York Mets,/api/v1/teams/121,471911,Carlos Carrasco,/api/v1/people/471911,104,National League,/api/v1/league/104,1,/api/v1/sports/1,MLB,112,Chicago Cubs,/api/v1/teams/112,718024,/api/v1.1/game/718024/feed/live,/api/v1/game/718024/content,1,day
471911,Carlos Carrasco,2023,2023-05-31,R,True,True,"6.0 IP, ER, 4 K, BB",1,1,4,8,5,1,1,0,1,4,1,0,6,0,.248,23,.292,.435,.727,0,0,.---,0,82,5.74,6.0,1,0,0,0,0,0,1,1.37,24,18,1,0,0,52,.630,0,0,0,0,10,1.57,1.000,13.67,0,4.00,6.00,1.50,9.00,1.50,1.50,0,0,0,0,0,121,New York Mets,/api/v1/teams/121,471911,Carlos Carrasco,/api/v1/people/471911,104,National League,/api/v1/league/104,1,/api/v1/sports/1,MLB,143,Philadelphia Phillies,/api/v1/teams/143,717944,/api/v1.1/game/717944/feed/live,/api/v1/game/717944/content,1,day
471911,Carlos Carrasco,2023,2023-06-06,R,False,False,"5.0 IP, 4 ER, 4 K, 2 BB",1,1,1,7,2,4,1,0,1,4,2,0,6,1,.257,19,.409,.526,.935,0,0,.---,2,86,5.94,5.0,0,0,0,0,0,0,4,1.40,22,15,1,0,0,52,.600,1,0,0,0,10,1.70,.---,17.20,0,2.00,7.20,3.60,10.80,7.20,1.80,0,0,0,0,0,121,New York Mets,/api/v1/teams/121,471911,Carlos Carrasco,/api/v1/people/471911,104,National League,/api/v1/league/104,1,/api/v1/sports/1,MLB,144,Atlanta Braves,/api/v1/teams/144,717872,/api/v1.1/game/717872/feed/live,/api/v1/game/717872/content,1,day
471911,Carlos Carrasco,2023,2023-06-11,R,False,False,"4.2 IP, 2 ER, K, 3 BB",1,1,3,6,6,2,1,0,1,1,3,0,6,0,.264,19,.409,.526,.935,0,0,.---,0,81,5.71,4.2,0,1,0,0,0,0,2,1.46,22,14,1,0,0,43,.530,0,0,1,0,10,1.58,.000,17.36,0,0.33,1.93,5.79,11.57,3.86,1.93,0,0,0,0,0,121,New York Mets,/api/v1/teams/121,471911,Carlos Carrasco,/api/v1/people/471911,104,National League,/api/v1/league/104,1,/api/v1/sports/1,MLB,134,Pittsburgh Pirates,/api/v1/teams/134,717803,/api/v1.1/game/717803/feed/live,/api/v1/game/717803/content,1,day
471911,Carlos Carrasco,2023,2023-06-18,R,True,False,"3.0 IP, 5 ER, 4 K, 3 BB",1,1,1,4,2,6,2,0,2,4,3,0,5,0,.270,15,.444,.867,1.311,0,0,.---,0,61,6.34,3.0,0,0,0,0,0,0,5,1.55,18,9,1,0,0,39,.640,0,0,0,0,13,1.61,.---,20.33,0,1.33,12.00,9.00,15.00,18.00,6.00,0,0,0,0,0,121,New York Mets,/api/v1/teams/121,471911,Carlos Carrasco,/api/v1/people/471911,104,National League,/api/v1/league/104,1,/api/v1/sports/1,MLB,138,St. Louis Cardinals,/api/v1/teams/138,717713,/api/v1.1/game/717713/feed/live,/api/v1/game/717713/content,1,day
471911,Carlos Carrasco,2023,2023-06-25,R,False,False,"4.0 IP, 2 ER, 5 K, 2 BB",1,1,0,6,1,2,1,1,1,5,2,0,5,0,.272,17,.368,.647,1.015,0,0,.---,0,78,6.19,4.0,0,0,0,0,0,0,2,1.56,19,12,1,0,0,49,.630,0,0,0,0,11,1.72,.---,19.50,0,2.50,11.25,4.50,11.25,4.50,2.25,0,0,0,0,0,121,New York Mets,/api/v1/teams/121,471911,Carlos Carrasco,/api/v1/people/471911,104,National League,/api/v1/league/104,1,/api/v1/sports/1,MLB,143,Philadelphia Phillies,/api/v1/teams/143,717624,/api/v1.1/game/717624/feed/live,/api/v1/game/717624/content,1,day
471911,Carlos Carrasco,2023,2023-06-30,R,True,False,"5.0 IP, 2 ER, 6 K, 3 BB",1,1,3,4,4,2,0,0,1,6,3,0,5,0,.271,19,.364,.421,.785,0,0,.---,1,92,5.94,5.0,0,0,0,0,0,0,2,1.57,22,15,1,0,0,56,.610,0,0,0,0,8,1.65,.---,18.40,0,2.00,10.80,5.40,9.00,3.60,1.80,0,0,0,0,0,121,New York Mets,/api/v1/teams/121,471911,Carlos Carrasco,/api/v1/people/471911,104,National League,/api/v1/league/104,1,/api/v1/sports/1,MLB,137,San Francisco Giants,/api/v1/teams/137,717556,/api/v1.1/game/717556/feed/live,/api/v1/game/717556/content,1,day
471911,Carlos Carrasco,2023,2023-07-06,R,False,True,"8.0 IP, 0 ER, 4 K, BB",1,1,5,11,7,0,1,0,0,4,1,0,3,0,.255,25,.154,.160,.314,0,0,.---,1,96,5.16,8.0,1,0,0,0,0,0,0,1.43,26,24,1,0,0,63,.660,0,0,0,1,4,1.64,1.000,12.00,0,4.00,4.50,1.13,3.38,0.00,0.00,0,0,0,0,0,121,New York Mets,/api/v1/teams/121,471911,Carlos Carrasco,/api/v1/people/471911,104,National League,/api/v1/league/104,1,/api/v1/sports/1,MLB,109,Arizona Diamondbacks,/api/v1/teams/109,717470,/api/v1.1/game/717470/feed/live,/api/v1/game/717470/content,1,day
471911,Carlos Carrasco,2023,2023-07-18,R,True,True,"4.2 IP, 4 ER, 5 K, 2 BB",1,1,1,6,3,4,2,0,1,5,2,0,6,1,.259,20,.391,.550,.941,0,1,1.000,0,82,5.35,4.2,0,0,0,0,0,0,4,1.45,23,14,1,0,0,50,.610,1,0,0,0,11,1.66,.---,17.57,0,2.50,9.64,3.86,11.57,7.71,1.93,0,0,0,0,0,121,New York Mets,/api/v1/teams/121,471911,Carlos Carrasco,/api/v1/people/471911,104,National League,/api/v1/league/104,1,/api/v1/sports/1,MLB,145,Chicago White Sox,/api/v1/teams/145,717359,/api/v1.1/game/717359/feed/live,/api/v1/game/717359/content,1,day
471911,Carlos Carrasco,2023,2023-07-23,R,False,False,"2.1 IP, 5 ER, 2 K, 2 BB",1,1,0,2,1,5,2,0,0,2,2,0,10,0,.281,15,.706,.800,1.506,0,1,1.000,0,58,5.82,2.1,0,1,0,0,0,0,5,1.57,17,7,1,0,0,36,.620,0,0,1,0,12,1.67,.000,24.86,0,1.00,7.71,7.71,38.57,19.29,0.00,0,0,0,0,0,121,New York Mets,/api/v1/teams/121,471911,Carlos Carrasco,/api/v1/people/471911,104,National League,/api/v1/league/104,1,/api/v1/sports/1,MLB,111,Boston Red Sox,/api/v1/teams/111,717298,/api/v1.1/game/717298/feed/live,/api/v1/game/717298/content,1,day
471911,Carlos Carrasco,2023,2023-07-29,R,True,False,"2.1 IP, 6 ER, 2 K, BB",1,1,0,3,3,8,2,0,0,2,1,0,8,0,.295,15,.529,.667,1.196,0,1,1.000,0,63,6.40,2.1,0,1,0,0,0,0,6,1.65,17,7,1,0,0,44,.700,0,1,0,0,10,1.63,.000,27.00,0,2.00,7.71,3.86,30.86,30.86,0.00,0,0,0,0,1,121,New York Mets,/api/v1/teams/121,471911,Carlos Carrasco,/api/v1/people/471911,104,National League,/api/v1/league/104,1,/api/v1/sports/1,MLB,120,Washington Nationals,/api/v1/teams/120,717215,/api/v1.1/game/717215/feed/live,/api/v1/game/717215/content,1,day
471911,Carlos Carrasco,2023,2023-08-03,R,False,False,"6.0 IP, 6 ER, 0 K, BB",1,1,7,4,12,6,1,0,2,0,1,0,8,1,.299,23,.385,.652,1.037,0,2,1.000,0,74,6.60,6.0,0,1,0,0,0,0,6,1.64,26,18,1,0,0,52,.700,1,0,1,1,15,1.41,.000,12.33,0,0.00,0.00,1.50,12.00,9.00,3.00,0,0,0,0,1,121,New York Mets,/api/v1/teams/121,471911,Carlos Carrasco,/api/v1/people/471911,104,National League,/api/v1/league/104,1,/api/v1/sports/1,MLB,118,Kansas City Royals,/api/v1/teams/118,717148,/api/v1.1/game/717148/feed/live,/api/v1/game/717148/content,1,day
471911,Carlos Carrasco,2023,2023-08-08,R,True,False,"5.0 IP, 2 ER, 5 K, 2 BB",1,1,1,7,2,2,1,0,1,5,2,0,3,0,.292,17,.263,.412,.675,0,0,.---,0,75,6.42,5.0,0,0,0,0,0,0,2,1.60,19,15,1,0,0,49,.650,0,0,0,1,7,1.46,.---,15.00,0,2.50,9.00,3.60,5.40,3.60,1.80,0,0,0,0,0,121,New York Mets,/api/v1/teams/121,471911,Carlos Carrasco,/api/v1/people/471911,104,National League,/api/v1/league/104,1,/api/v1/sports/1,MLB,112,Chicago Cubs,/api/v1/teams/112,717080,/api/v1.1/game/717080/feed/live,/api/v1/game/717080/content,1,day
471911,Carlos Carrasco,2023,2023-08-14,R,True,True,"3.0 IP, 2 ER, 5 K, 3 BB",1,1,1,3,1,2,2,0,0,5,3,0,4,0,.293,13,.438,.462,.900,1,0,.000,0,88,6.40,3.0,0,0,0,0,0,0,2,1.62,16,9,1,0,0,53,.600,0,0,0,0,6,1.49,.---,29.33,0,1.67,15.00,9.00,12.00,6.00,0.00,0,0,0,0,0,121,New York Mets,/api/v1/teams/121,471911,Carlos Carrasco,/api/v1/people/471911,104,National League,/api/v1/league/104,1,/api/v1/sports/1,MLB,134,Pittsburgh Pirates,/api/v1/teams/134,717002,/api/v1.1/game/717002/feed/live,/api/v1/game/717002/content,1,day
